Observation,latN,longW,depthmbsl,F1,F2,F3,F4,F5,F6,SetNo,Section
EWI9309-004-002,-47.967,-10.083,-2895.000,-1.612,-1.483,0.009,-0.262,-0.451,0.091,2.000,1.000
EWI9309-004-003,-47.967,-10.083,-2895.000,-1.612,-1.483,0.009,-0.262,-0.451,0.091,2.000,1.000
EW9309 04D-3g,-47.976,-10.080,2895.000,-2.312,-2.021,0.114,-0.780,-0.680,-0.029,1.000,1.000
EW9309 05D-5g,-48.240,-9.990,3452.500,-2.312,-2.021,0.114,-0.780,-0.680,-0.029,1.000,1.000
EWI9309-005-005,-48.240,-9.995,-3453.000,-4.006,-3.121,0.520,0.447,0.421,-0.393,2.000,1.000
EWI9309-006-001,-48.554,-10.167,-3267.000,-4.150,-3.550,0.057,0.002,0.057,-0.290,2.000,1.000
EW9309 07D-1g,-48.760,-10.070,3217.500,-4.296,-3.679,0.317,0.057,0.020,-0.367,1.000,1.000
EW9309 07D-6g,-48.760,-10.070,3217.500,-2.215,-2.220,0.259,0.727,0.053,-0.189,1.000,1.000
EW9309 07D-2g,-48.760,-10.070,3217.500,-4.151,-3.550,0.057,0.002,0.057,-0.290,1.000,1.000
EWI9309-007-001,-48.760,-10.070,-3218.000,-2.215,-2.220,0.259,0.728,0.053,-0.189,2.000,1.000
EWI9309-007-002,-48.760,-10.070,-3218.000,-4.296,-3.680,0.318,0.056,0.020,-0.367,2.000,1.000
EWI9309-007-006,-48.760,-10.070,-3218.000,-1.977,-2.252,-0.016,0.682,0.010,-0.151,2.000,1.000
EW9309 08D-1g,-48.963,-9.970,3893.500,-1.977,-2.253,-0.015,0.681,0.010,-0.151,1.000,1.000
EWI9309-008-001,-48.963,-9.973,-3894.000,-2.594,-2.561,0.057,0.611,0.260,-0.087,2.000,1.000
EW9309 09D-1g,-49.147,-9.910,3892.000,-1.853,-1.763,-0.063,0.755,0.567,0.176,1.000,1.000
EW9309 09D-3g,-49.147,-9.910,3892.000,-2.594,-2.561,0.058,0.611,0.260,-0.087,1.000,1.000
EWI9309-009-001,-49.147,-9.910,-3892.000,-1.853,-1.763,-0.063,0.755,0.567,0.176,2.000,1.000
EWI9309-009-003,-49.147,-9.910,-3892.000,1.537,-0.753,-0.694,0.085,-0.116,-0.009,2.000,1.000
EWI9309-010-003,-49.245,-8.140,-3860.000,0.769,-0.782,-0.547,-0.250,-0.642,-0.280,2.000,1.000
EWI9309-010-005,-49.245,-8.140,-3860.000,0.856,-0.140,-0.946,-0.038,-0.170,-0.027,2.000,1.000
EW9309 11D-1g,-49.443,-7.970,3868.000,0.856,-0.140,-0.946,-0.038,-0.170,-0.027,1.000,1.000
EWI9309-011-001,-49.443,-7.967,-3868.000,0.880,-0.069,-1.001,0.069,-0.256,0.033,2.000,1.000
EW9309 12D-3g,-49.757,-8.030,3874.000,0.880,-0.069,-1.001,0.070,-0.256,0.033,1.000,1.000
EWI9309-012-003,-49.757,-8.003,-3874.000,1.103,0.293,-0.985,0.051,0.247,0.148,2.000,1.000
EWI9309-013-001,-49.993,-7.880,3555.000,1.103,0.293,-0.985,0.050,0.247,0.148,1.000,1.000
EW9309 14D-1g,-49.993,-7.882,-3555.000,0.388,0.193,-0.794,-0.092,-0.193,0.017,2.000,1.000
EW9309 14D-4g,-50.267,-7.060,3347.000,-0.071,-1.112,-0.866,0.049,-0.184,-0.222,1.000,1.000
EWI9309-014-001,-50.267,-7.060,3347.000,0.387,0.193,-0.794,-0.092,-0.193,0.016,1.000,1.000
EWI9309-014-004,-50.267,-7.062,-3347.000,-0.071,-1.112,-0.866,0.049,-0.184,-0.222,2.000,1.000
EW9309 24D-3g,-50.267,-7.062,-3347.000,-0.060,0.271,-0.789,-0.268,-0.090,0.073,2.000,1.000
EWI9309-024-003,-50.458,-6.533,3183.000,-0.059,0.271,-0.789,-0.268,-0.090,0.073,1.000,1.000
EW9309 15D-1g,-50.458,-6.533,-3183.000,-0.207,0.371,-0.917,-0.115,-0.033,0.071,2.000,1.000
EWI9309-015-001,-50.578,-6.430,2980.000,-0.051,0.474,-0.714,0.055,-0.172,0.030,1.000,1.000
EW9309 17D-1g,-50.578,-6.428,-2980.000,-0.875,0.914,-1.041,-0.197,-0.157,0.018,2.000,1.000
EWI9309-017-001,-50.757,-6.340,2942.500,-0.875,0.914,-1.042,-0.196,-0.157,0.018,1.000,1.000
EW9309 18D-1g,-50.757,-6.337,-2943.000,-1.491,-0.040,-0.560,-0.045,-0.298,0.052,2.000,1.000
EWI9309-018-001,-51.053,-6.200,1991.000,-1.491,-0.040,-0.560,-0.045,-0.298,0.052,1.000,1.000
EW9309 19D-1g,-51.053,-6.198,-1991.000,-2.290,1.431,-1.341,-0.128,-0.336,0.059,2.000,1.000
EW9309 19D-3g,-51.062,-6.160,1743.000,-1.238,0.158,-0.388,-0.104,-0.171,0.126,1.000,1.000
EWI9309-019-001,-51.062,-6.160,1743.000,-1.951,1.622,-1.470,0.032,0.230,0.277,1.000,1.000
EWI9309-019-003,-51.062,-6.158,-1743.000,-1.237,0.157,-0.388,-0.104,-0.171,0.126,2.000,1.000
AG32-10-1,-51.062,-6.158,-1743.000,-2.329,0.109,-0.475,0.021,-0.061,-0.085,2.000,1.000
AGU0032-010-001,-51.280,-5.850,2025.000,-2.329,0.110,-0.475,0.022,-0.061,-0.085,1.000,1.000
EW9309 20D-1g,-51.280,5.850,-2075.000,-2.305,0.188,-0.473,-0.091,-0.194,-0.138,2.000,1.000
EWI9309-020-001,-51.428,-5.780,1719.000,-2.305,0.189,-0.473,-0.091,-0.194,-0.138,1.000,1.000
AG32-9-1,-51.428,-5.780,-1719.000,-2.095,0.208,-0.411,0.190,0.184,-0.041,2.000,1.000
AGU0032-009-001,-51.620,-5.600,1675.000,-2.096,0.208,-0.411,0.191,0.184,-0.042,1.000,1.000
EW9309 21D-1g,-51.620,5.600,-1775.000,-2.231,0.525,-0.968,-0.113,-0.274,-0.061,2.000,1.000
EWI9309-021-001,-51.822,-5.500,2025.000,-2.231,0.525,-0.968,-0.113,-0.274,-0.061,1.000,1.000
EW9309 23D-1g,-51.822,-5.503,-2025.000,-1.210,0.107,-0.772,-0.060,-0.238,0.010,2.000,1.000
EWI9309-023-001,-52.157,-5.340,2609.000,-1.210,0.107,-0.771,-0.061,-0.238,0.011,1.000,1.000
AG32-7-1,-52.157,-5.340,-2609.000,-1.013,-0.996,-0.444,-0.245,-0.148,0.229,2.000,1.000
AGU0032-007-001,-52.270,-4.830,3400.000,-1.013,-0.996,-0.444,-0.246,-0.148,0.229,1.000,1.000
EW9309 22D-3g,-52.270,4.830,-2950.000,-1.216,-0.826,-0.317,0.057,0.109,0.281,2.000,1.000
EWI9309-022-003,-52.458,-4.570,3059.000,-1.215,-0.826,-0.317,0.057,0.109,0.281,1.000,1.000
AG32-6-2g,-52.458,-4.567,-3059.000,-0.871,-0.923,-0.359,0.109,-0.102,0.177,2.000,1.000
AGU0032-006-002,-52.650,-4.380,2325.000,-0.871,-0.923,-0.359,0.109,-0.102,0.177,1.000,1.000
AG32 5-1,-52.650,4.380,-2325.000,-1.914,-0.104,-0.292,-0.008,-0.007,0.170,2.000,1.000
AGU0032-005-001,-52.980,-4.330,1700.000,-1.914,-0.104,-0.292,-0.008,-0.007,0.170,1.000,1.000
AG32-4-111,-52.980,-4.330,-1650.000,-1.219,0.153,-0.292,0.671,0.179,0.178,2.000,1.000
AGU0032-004-111,-54.030,-2.300,2500.000,-1.220,0.153,-0.292,0.672,0.179,0.178,1.000,1.000
AG32-3-99,-54.030,2.130,-2500.000,-0.693,0.664,-0.733,0.575,0.428,-0.009,2.000,1.000
AG32-2-3g,-54.120,-1.970,2250.000,-1.568,0.354,-0.385,0.629,0.278,0.052,1.000,1.000
AGU0032-002-003,-54.370,-1.200,2250.000,-1.568,0.354,-0.385,0.629,0.278,0.053,1.000,1.000
EW9309 13D-1g,-54.370,1.200,-2250.000,-0.846,1.923,0.389,0.352,0.154,-0.155,2.000,1.000
